Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 1.8879 | Train Acc: 0.5774
 SVHN       | Train Loss: 2.2439 | Train Acc: 0.2180
 USPS       | Train Loss: 2.1182 | Train Acc: 0.2275
 SynthDigits| Train Loss: 2.2366 | Train Acc: 0.1642
 MNIST-M    | Train Loss: 2.1837 | Train Acc: 0.2705
 MNIST      | Test  Loss: 1.9134 | Test  Acc: 0.5649
 SVHN       | Test  Loss: 2.2586 | Test  Acc: 0.1872
 USPS       | Test  Loss: 2.1118 | Test  Acc: 0.2403
 SynthDigits| Test  Loss: 2.2603 | Test  Acc: 0.1477
 MNIST-M    | Test  Loss: 2.2061 | Test  Acc: 0.2439
============ Train epoch 1 ============
 MNIST      | Train Loss: 0.6814 | Train Acc: 0.8533
 SVHN       | Train Loss: 2.0603 | Train Acc: 0.3297
 USPS       | Train Loss: 1.1181 | Train Acc: 0.7914
 SynthDigits| Train Loss: 1.7052 | Train Acc: 0.5249
 MNIST-M    | Train Loss: 1.5370 | Train Acc: 0.6151
 MNIST      | Test  Loss: 0.7753 | Test  Acc: 0.8071
 SVHN       | Test  Loss: 2.1240 | Test  Acc: 0.2640
 USPS       | Test  Loss: 1.1541 | Test  Acc: 0.7591
 SynthDigits| Test  Loss: 1.8691 | Test  Acc: 0.4191
 MNIST-M    | Test  Loss: 1.7290 | Test  Acc: 0.4862
============ Train epoch 2 ============
 MNIST      | Train Loss: 0.3554 | Train Acc: 0.9179
 SVHN       | Train Loss: 1.8662 | Train Acc: 0.3970
 USPS       | Train Loss: 0.7151 | Train Acc: 0.8573
 SynthDigits| Train Loss: 1.3087 | Train Acc: 0.6555
 MNIST-M    | Train Loss: 1.1925 | Train Acc: 0.7214
 MNIST      | Test  Loss: 0.4562 | Test  Acc: 0.8805
 SVHN       | Test  Loss: 1.9729 | Test  Acc: 0.3375
 USPS       | Test  Loss: 0.7516 | Test  Acc: 0.8215
 SynthDigits| Test  Loss: 1.5510 | Test  Acc: 0.5191
