Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 2.1386 | Train Acc: 0.1292
 SVHN       | Train Loss: 2.2446 | Train Acc: 0.2086
 USPS       | Train Loss: 2.1103 | Train Acc: 0.3769
 SynthDigits| Train Loss: 2.2265 | Train Acc: 0.1911
 MNIST-M    | Train Loss: 2.1666 | Train Acc: 0.2624
 MNIST      | Test  Loss: 2.1753 | Test  Acc: 0.1134
 SVHN       | Test  Loss: 2.2582 | Test  Acc: 0.1672
 USPS       | Test  Loss: 2.1154 | Test  Acc: 0.3656
 SynthDigits| Test  Loss: 2.2550 | Test  Acc: 0.1599
 MNIST-M    | Test  Loss: 2.1925 | Test  Acc: 0.2356
============ Train epoch 1 ============
 MNIST      | Train Loss: 1.3574 | Train Acc: 0.5451
 SVHN       | Train Loss: 1.9071 | Train Acc: 0.4334
 USPS       | Train Loss: 0.9729 | Train Acc: 0.8775
 SynthDigits| Train Loss: 1.6314 | Train Acc: 0.5747
 MNIST-M    | Train Loss: 1.4463 | Train Acc: 0.6124
 MNIST      | Test  Loss: 1.4463 | Test  Acc: 0.5320
 SVHN       | Test  Loss: 2.0311 | Test  Acc: 0.3300
 USPS       | Test  Loss: 1.0199 | Test  Acc: 0.8527
 SynthDigits| Test  Loss: 1.8165 | Test  Acc: 0.4444
 MNIST-M    | Test  Loss: 1.6803 | Test  Acc: 0.4553
============ Train epoch 2 ============
 MNIST      | Train Loss: 0.8272 | Train Acc: 0.7793
 SVHN       | Train Loss: 1.5819 | Train Acc: 0.5532
 USPS       | Train Loss: 0.5727 | Train Acc: 0.9139
 SynthDigits| Train Loss: 1.2824 | Train Acc: 0.6312
 MNIST-M    | Train Loss: 1.0676 | Train Acc: 0.7577
 MNIST      | Test  Loss: 0.9046 | Test  Acc: 0.7540
 SVHN       | Test  Loss: 1.8157 | Test  Acc: 0.4078
 USPS       | Test  Loss: 0.6053 | Test  Acc: 0.9000
 SynthDigits| Test  Loss: 1.5336 | Test  Acc: 0.5060
 MNIST-M    | Test  Loss: 1.3693 | Test  Acc: 0.5816
============ Train epoch 3 ============
 MNIST      | Train Loss: 0.4954 | Train Acc: 0.9260
 SVHN       | Train Loss: 1.3238 | Train Acc: 0.7187
 USPS       | Train Loss: 0.3981 | Train Acc: 0.9354
 SynthDigits| Train Loss: 0.9511 | Train Acc: 0.7766
 MNIST-M    | Train Loss: 0.8545 | Train Acc: 0.8385
 MNIST      | Test  Loss: 0.6109 | Test  Acc: 0.8819
 SVHN       | Test  Loss: 1.6133 | Test  Acc: 0.5174
 USPS       | Test  Loss: 0.4519 | Test  Acc: 0.9204
 SynthDigits| Test  Loss: 1.2714 | Test  Acc: 0.6155
 MNIST-M    | Test  Loss: 1.2209 | Test  Acc: 0.6376
============ Train epoch 4 ============
 MNIST      | Train Loss: 0.3620 | Train Acc: 0.9556
 SVHN       | Train Loss: 1.3008 | Train Acc: 0.6406
 USPS       | Train Loss: 0.3171 | Train Acc: 0.9556
 SynthDigits| Train Loss: 0.7909 | Train Acc: 0.8371
 MNIST-M    | Train Loss: 0.7066 | Train Acc: 0.8829
 MNIST      | Test  Loss: 0.4849 | Test  Acc: 0.9118
 SVHN       | Test  Loss: 1.6176 | Test  Acc: 0.4781
 USPS       | Test  Loss: 0.3722 | Test  Acc: 0.9344
 SynthDigits| Test  Loss: 1.1507 | Test  Acc: 0.6532
 MNIST-M    | Test  Loss: 1.1122 | Test  Acc: 0.6665
============ Train epoch 5 ============
 MNIST      | Train Loss: 0.2926 | Train Acc: 0.9637
 SVHN       | Train Loss: 1.0029 | Train Acc: 0.8035
 USPS       | Train Loss: 0.2488 | Train Acc: 0.9542
 SynthDigits| Train Loss: 0.6071 | Train Acc: 0.9058
 MNIST-M    | Train Loss: 0.5806 | Train Acc: 0.9448
 MNIST      | Test  Loss: 0.4244 | Test  Acc: 0.9144
 SVHN       | Test  Loss: 1.4104 | Test  Acc: 0.5685
 USPS       | Test  Loss: 0.3187 | Test  Acc: 0.9328
 SynthDigits| Test  Loss: 0.9863 | Test  Acc: 0.7099
 MNIST-M    | Test  Loss: 1.0347 | Test  Acc: 0.6942
============ Train epoch 6 ============
 MNIST      | Train Loss: 0.1836 | Train Acc: 0.9919
 SVHN       | Train Loss: 0.8176 | Train Acc: 0.8439
 USPS       | Train Loss: 0.2198 | Train Acc: 0.9690
 SynthDigits| Train Loss: 0.5142 | Train Acc: 0.9394
 MNIST-M    | Train Loss: 0.5068 | Train Acc: 0.9569
 MNIST      | Test  Loss: 0.3125 | Test  Acc: 0.9384
 SVHN       | Test  Loss: 1.2986 | Test  Acc: 0.6020
 USPS       | Test  Loss: 0.2912 | Test  Acc: 0.9387
 SynthDigits| Test  Loss: 0.9202 | Test  Acc: 0.7327
 MNIST-M    | Test  Loss: 0.9776 | Test  Acc: 0.7179
============ Train epoch 7 ============
 MNIST      | Train Loss: 0.1365 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.7854 | Train Acc: 0.8681
 USPS       | Train Loss: 0.1709 | Train Acc: 0.9650
 SynthDigits| Train Loss: 0.4907 | Train Acc: 0.9192
 MNIST-M    | Train Loss: 0.5109 | Train Acc: 0.9273
 MNIST      | Test  Loss: 0.2602 | Test  Acc: 0.9499
 SVHN       | Test  Loss: 1.3017 | Test  Acc: 0.5945
 USPS       | Test  Loss: 0.2543 | Test  Acc: 0.9435
 SynthDigits| Test  Loss: 0.9205 | Test  Acc: 0.7222
 MNIST-M    | Test  Loss: 1.0133 | Test  Acc: 0.6904
============ Train epoch 8 ============
 MNIST      | Train Loss: 0.1653 | Train Acc: 0.9879
 SVHN       | Train Loss: 0.6837 | Train Acc: 0.8937
 USPS       | Train Loss: 0.1646 | Train Acc: 0.9812
 SynthDigits| Train Loss: 0.3314 | Train Acc: 0.9717
 MNIST-M    | Train Loss: 0.3856 | Train Acc: 0.9637
 MNIST      | Test  Loss: 0.3069 | Test  Acc: 0.9276
 SVHN       | Test  Loss: 1.2311 | Test  Acc: 0.6172
 USPS       | Test  Loss: 0.2564 | Test  Acc: 0.9403
 SynthDigits| Test  Loss: 0.7950 | Test  Acc: 0.7646
 MNIST-M    | Test  Loss: 0.9451 | Test  Acc: 0.7007
============ Train epoch 9 ============
 MNIST      | Train Loss: 0.1222 | Train Acc: 0.9879
 SVHN       | Train Loss: 0.5597 | Train Acc: 0.9260
 USPS       | Train Loss: 0.1235 | Train Acc: 0.9812
 SynthDigits| Train Loss: 0.2957 | Train Acc: 0.9717
 MNIST-M    | Train Loss: 0.3159 | Train Acc: 0.9825
 MNIST      | Test  Loss: 0.2524 | Test  Acc: 0.9371
 SVHN       | Test  Loss: 1.1615 | Test  Acc: 0.6458
 USPS       | Test  Loss: 0.2109 | Test  Acc: 0.9435
 SynthDigits| Test  Loss: 0.7684 | Test  Acc: 0.7687
 MNIST-M    | Test  Loss: 0.8649 | Test  Acc: 0.7349
============ Train epoch 10 ============
 MNIST      | Train Loss: 0.0746 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4974 | Train Acc: 0.9219
 USPS       | Train Loss: 0.1051 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.2365 | Train Acc: 0.9892
 MNIST-M    | Train Loss: 0.2490 | Train Acc: 0.9892
 MNIST      | Test  Loss: 0.2121 | Test  Acc: 0.9510
 SVHN       | Test  Loss: 1.1364 | Test  Acc: 0.6480
 USPS       | Test  Loss: 0.1974 | Test  Acc: 0.9543
 SynthDigits| Test  Loss: 0.7164 | Test  Acc: 0.7900
 MNIST-M    | Test  Loss: 0.8435 | Test  Acc: 0.7438
============ Train epoch 11 ============
 MNIST      | Train Loss: 0.0642 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4156 | Train Acc: 0.9475
 USPS       | Train Loss: 0.0811 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.1847 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.2146 | Train Acc: 0.9933
 MNIST      | Test  Loss: 0.1977 | Test  Acc: 0.9521
 SVHN       | Test  Loss: 1.1039 | Test  Acc: 0.6539
 USPS       | Test  Loss: 0.1850 | Test  Acc: 0.9527
 SynthDigits| Test  Loss: 0.6877 | Test  Acc: 0.7946
 MNIST-M    | Test  Loss: 0.8024 | Test  Acc: 0.7609
============ Train epoch 12 ============
 MNIST      | Train Loss: 0.0605 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3753 | Train Acc: 0.9542
 USPS       | Train Loss: 0.0799 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.1813 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.1944 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1943 | Test  Acc: 0.9545
 SVHN       | Test  Loss: 1.0930 | Test  Acc: 0.6526
 USPS       | Test  Loss: 0.1770 | Test  Acc: 0.9565
 SynthDigits| Test  Loss: 0.6876 | Test  Acc: 0.7941
 MNIST-M    | Test  Loss: 0.8103 | Test  Acc: 0.7582
============ Train epoch 13 ============
 MNIST      | Train Loss: 0.0466 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3575 | Train Acc: 0.9448
 USPS       | Train Loss: 0.0715 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.1477 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1721 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.1834 | Test  Acc: 0.9543
 SVHN       | Test  Loss: 1.1037 | Test  Acc: 0.6390
 USPS       | Test  Loss: 0.1744 | Test  Acc: 0.9586
 SynthDigits| Test  Loss: 0.6682 | Test  Acc: 0.7963
 MNIST-M    | Test  Loss: 0.8073 | Test  Acc: 0.7504
============ Train epoch 14 ============
 MNIST      | Train Loss: 0.0499 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3093 | Train Acc: 0.9623
 USPS       | Train Loss: 0.0481 | Train Acc: 0.9973
 SynthDigits| Train Loss: 0.1305 | Train Acc: 0.9946
 MNIST-M    | Train Loss: 0.1361 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1953 | Test  Acc: 0.9484
